Nom de fichier	Chemin	voyageId	Pays	Ville	Lieu	Date Événement	datePage	Légende
0106_7A.14.jpg	D:\TDM\0001_jordanie20010205\0009_Petra\2001-02-13\0106_7A.14.jpg	jordanie20010205	Jordanie	Petra	-	13/02/2001	-	-
0107_5.5.jpg	D:\TDM\0001_jordanie20010205\0009_Petra\2001-02-13\0107_5.5.jpg	jordanie20010205	Jordanie	Petra	-	13/02/2001	-	-
0108_5.4.jpg	D:\TDM\0001_jordanie20010205\0009_Petra\2001-02-13\0108_5.4.jpg	jordanie20010205	Jordanie	Petra	-	13/02/2001	-	Tombeau des rois
0109_7A.15.jpg	D:\TDM\0001_jordanie20010205\0009_Petra\2001-02-13\0109_7A.15.jpg	jordanie20010205	Jordanie	Petra	-	13/02/2001	-	-
0110_5.3.jpg	D:\TDM\0001_jordanie20010205\0009_Petra\2001-02-13\0110_5.3.jpg	jordanie20010205	Jordanie	Petra	-	13/02/2001	-	Tombeau des rois
0111_5.2.jpg	D:\TDM\0001_jordanie20010205\0009_Petra\2001-02-13\0111_5.2.jpg	jordanie20010205	Jordanie	Petra	-	13/02/2001	-	Voie romaine
0112_5.1.jpg	D:\TDM\0001_jordanie20010205\0009_Petra\2001-02-13\0112_5.1.jpg	jordanie20010205	Jordanie	Petra	-	13/02/2001	-	Théatre nabatéen
0113_6.36.jpg	D:\TDM\0001_jordanie20010205\0009_Petra\2001-02-13\0113_6.36.jpg	jordanie20010205	Jordanie	Petra	-	13/02/2001	-	Marion au milieu du théatre romain
0114_6.35.jpg	D:\TDM\0001_jordanie20010205\0009_Petra\2001-02-13\0114_6.35.jpg	jordanie20010205	Jordanie	Petra	-	13/02/2001	-	Coulisse du théatre romain
0115_6.34.jpg	D:\TDM\0001_jordanie20010205\0009_Petra\2001-02-14\0115_6.34.jpg	jordanie20010205	Jordanie	Petra	-	14/02/2001	-	Trésor du pharaon
0116_7A.16.jpg	D:\TDM\0001_jordanie20010205\0009_Petra\2001-02-14\0116_7A.16.jpg	jordanie20010205	Jordanie	Petra	-	14/02/2001	-	-
0117_7A.17.jpg	D:\TDM\0001_jordanie20010205\0009_Petra\2001-02-14\0117_7A.17.jpg	jordanie20010205	Jordanie	Petra	-	14/02/2001	-	-
0118_6.33.jpg	D:\TDM\0001_jordanie20010205\0009_Petra\2001-02-14\0118_6.33.jpg	jordanie20010205	Jordanie	Petra	-	14/02/2001	-	Cité nabatéenne…
0119_6.32.jpg	D:\TDM\0001_jordanie20010205\0009_Petra\2001-02-14\0119_6.32.jpg	jordanie20010205	Jordanie	Petra	-	14/02/2001	-	Cité nabatéenne…
0120_6.31.jpg	D:\TDM\0001_jordanie20010205\0009_Petra\2001-02-14\0120_6.31.jpg	jordanie20010205	Jordanie	Petra	-	14/02/2001	-	Dromadaire devant le trésor du pharaon
0121_6.30.jpg	D:\TDM\0001_jordanie20010205\0009_Petra\2001-02-14\0121_6.30.jpg	jordanie20010205	Jordanie	Petra	-	14/02/2001	-	Lionel au pied du monastère
0122_6.29.jpg	D:\TDM\0001_jordanie20010205\0009_Petra\2001-02-14\0122_6.29.jpg	jordanie20010205	Jordanie	Petra	-	14/02/2001	-	Dure remontée du Siq
0123_7A.18.jpg	D:\TDM\0001_jordanie20010205\0009_Petra\2001-02-15\0123_7A.18.jpg	jordanie20010205	Jordanie	Petra	-	15/02/2001	-	-
0124_7A.19.jpg	D:\TDM\0001_jordanie20010205\0010_Amman\2001-02-16\0124_7A.19.jpg	jordanie20010205	Jordanie	Amman	-	16/02/2001	-	-
0125_7A.20.jpg	D:\TDM\0001_jordanie20010205\0010_Amman\2001-02-16\0125_7A.20.jpg	jordanie20010205	Jordanie	Amman	-	16/02/2001	-	-
0126_7A.21.jpg	D:\TDM\0001_jordanie20010205\0011_Azraq\2001-02-16\0126_7A.21.jpg	jordanie20010205	Jordanie	Azraq	-	16/02/2001	-	-
0127_7A.22.jpg	D:\TDM\0001_jordanie20010205\0011_Azraq\2001-02-16\0127_7A.22.jpg	jordanie20010205	Jordanie	Azraq	-	16/02/2001	-	-
0128_7A.23.jpg	D:\TDM\0001_jordanie20010205\0012_Amman\2001-02-17\0128_7A.23.jpg	jordanie20010205	Jordanie	Amman	-	17/02/2001	-	-
